,yoy,cluster,Year,Type,Latitude,Longitude
454,-0.10263157894736841,33,2015,D,51.382626,-0.312455
452,-0.08724340175953083,33,2014,D,51.38147,-0.3127
450,1.2008032128514055,33,2013,D,51.382918,-0.3123885
448,-0.927007299270073,33,2012,D,51.382938,-0.313102
446,3.3000999999999996,33,2011,D,51.381825,-0.31082
467,-0.07491289198606277,33,2021,S,51.383045,-0.317815
465,0.4802259887005649,33,2020,S,51.3825475,-0.316783
463,-0.12849872773536897,33,2019,S,51.38324,-0.316422
461,-0.3722627737226277,33,2018,S,51.383142500000005,-0.317455
459,0.5813953488372092,33,2017,S,51.383045,-0.317815
457,-0.5294117647058824,33,2016,S,51.382056,-0.318116
455,1.0,33,2015,S,51.383045,-0.317455
453,-0.74609375,33,2014,S,51.38147,-0.31083099999999997
451,1.0307692307692307,33,2013,S,51.383045,-0.317815
449,-0.09090909090909094,33,2012,S,51.382056,-0.316422
447,-0.16666666666666663,33,2011,S,51.382054,-0.318116
490,-0.31658291457286436,35,2021,D,51.363241,-0.43698800000000004
488,-0.4411764705882353,35,2020,D,51.3640175,-0.437851
486,0.7105263157894737,35,2019,D,51.361055,-0.437725
484,-0.22307692307692306,35,2018,D,51.36184,-0.436173
482,1.3712871287128712,35,2017,D,51.362681,-0.436115
480,-0.08977035490605423,35,2016,D,51.362399,-0.43773449999999997
478,-0.4311926605504587,35,2015,D,51.362714000000004,-0.435838
476,-0.25,35,2014,D,51.362515,-0.437543
474,0.5268817204301075,35,2013,D,51.364091,-0.435475
472,-0.47887323943661975,35,2012,D,51.3638105,-0.437851
470,0.13516216216216215,35,2011,D,51.362515,-0.43720299999999995
491,-0.046052631578947345,35,2021,F,51.364578,-0.4388025
489,-0.3793103448275862,35,2020,F,51.364042,-0.4399715
487,0.7592592592592593,35,2019,F,51.364771000000005,-0.43715
485,0.0244210526315789,35,2018,F,51.36431,-0.440365
483,0.7632552404438964,35,2017,F,51.364126999999996,-0.44012249999999997
481,-0.5454545454545454,35,2016,F,51.365248,-0.437942
479,0.09205128205128199,35,2015,F,51.365092,-0.43871899999999997
477,-0.13007748297722466,35,2014,F,51.365162,-0.43683900000000003
475,0.06612685560053988,35,2013,F,51.36439,-0.43871899999999997
