,Price,Date,Year,Type,Lat,Lon,cluster
274,455000,2020-09-11,2020,T,51.40065451428571,-0.3631952285714286,19
275,460000,2021-08-25,2021,T,51.40065451428571,-0.3631952285714286,19
276,482000,2021-06-29,2021,T,51.40065451428571,-0.3631952285714286,19
277,435000,2021-02-05,2021,T,51.40065451428571,-0.3631952285714286,19
278,405000,2021-04-07,2021,T,51.40065451428571,-0.3631952285714286,19
279,242000,2011-06-17,2011,T,51.40065451428571,-0.3631952285714286,19
280,435000,2017-07-13,2017,T,51.40065451428571,-0.3631952285714286,19
281,445000,2020-06-26,2020,T,51.40065451428571,-0.3631952285714286,19
282,387500,2021-05-04,2021,T,51.40065451428571,-0.3631952285714286,19
283,537500,2021-11-30,2021,T,51.40065451428571,-0.3631952285714286,19
284,201000,2011-01-07,2011,T,51.40065451428571,-0.3631952285714286,19
285,187000,2012-07-20,2012,T,51.40065451428571,-0.3631952285714286,19
286,200000,2012-08-28,2012,T,51.40065451428571,-0.3631952285714286,19
287,249950,2014-06-12,2014,T,51.40065451428571,-0.3631952285714286,19
288,265000,2015-02-20,2015,T,51.40065451428571,-0.3631952285714286,19
289,260000,2015-07-31,2015,T,51.40065451428571,-0.3631952285714286,19
290,310000,2017-01-19,2017,T,51.40065451428571,-0.3631952285714286,19
291,265000,2019-08-28,2019,T,51.40065451428571,-0.3631952285714286,19
292,475000,2020-08-28,2020,T,51.40065451428571,-0.3631952285714286,19
293,305000,2020-11-16,2020,T,51.40065451428571,-0.3631952285714286,19
294,280000,2020-12-04,2020,T,51.40065451428571,-0.3631952285714286,19
295,310000,2021-01-22,2021,T,51.40065451428571,-0.3631952285714286,19
296,300000,2021-03-26,2021,T,51.40065451428571,-0.3631952285714286,19
297,297000,2021-07-26,2021,T,51.40065451428571,-0.3631952285714286,19
298,300000,2011-02-10,2011,T,51.40065451428571,-0.3631952285714286,19
299,169000,2013-02-15,2013,T,51.40065451428571,-0.3631952285714286,19
300,485000,2018-06-14,2018,T,51.40065451428571,-0.3631952285714286,19
