,5y_ret,5y_ret_ward,Price,Year,Type,Ward
743,-0.07329105003523617,0.10852713178294571,357500.0,2020,T,Molesey West
759,-0.02012936322069825,0.06830601092896171,391000.0,2021,T,Molesey West
88,-0.0367656930426945,0.19909502262443435,1325000.0,2015,D,Oatlands and Burwood Park
104,-0.004931972789115502,0.31887755102040827,1292500.0,2016,D,Oatlands and Burwood Park
120,-0.10100644122383251,0.2369565217391305,1422500.0,2017,D,Oatlands and Burwood Park
136,-0.10200099893862768,0.16992882562277578,1315000.0,2018,D,Oatlands and Burwood Park
152,-0.20079970472440944,-0.09843749999999996,1442500.0,2019,D,Oatlands and Burwood Park
168,-0.12617024341062932,0.018867924528301883,1350000.0,2020,D,Oatlands and Burwood Park
184,0.04319329835937813,0.17988394584139256,1525000.0,2021,D,Oatlands and Burwood Park
280,0.0028391388676793916,0.2923128230782057,387500.0,2015,F,Oatlands and Burwood Park
296,-0.059692451071761354,0.4051724137931034,407500.0,2016,F,Oatlands and Burwood Park
312,0.00900732844770169,0.47848101265822796,365000.0,2017,F,Oatlands and Burwood Park
328,-0.178921568627451,0.196078431372549,305000.0,2018,F,Oatlands and Burwood Park
344,-0.02757296466973891,0.21666666666666656,365000.0,2019,F,Oatlands and Burwood Park
360,-0.25752468729427247,-0.15548387096774197,327250.0,2020,F,Oatlands and Burwood Park
376,-0.007371018495460957,-0.0036809815950920033,406000.0,2021,F,Oatlands and Burwood Park
472,-0.11681034482758634,0.26249999999999996,631250.0,2015,S,Oatlands and Burwood Park
488,0.5611792074756123,1.035755478662053,882500.0,2016,S,Oatlands and Burwood Park
504,0.439460763917783,0.898477157360406,935000.0,2017,S,Oatlands and Burwood Park
520,0.33333333333333326,0.7179487179487178,670000.0,2018,S,Oatlands and Burwood Park
536,-0.4991833508956798,-0.30192307692307696,726000.0,2019,S,Oatlands and Burwood Park
552,0.31430693069306925,0.4693069306930693,927500.0,2020,S,Oatlands and Burwood Park
568,-0.11210966754583063,0.0028328611898016387,885000.0,2021,S,Oatlands and Burwood Park
664,0.188826856280347,0.509090909090909,581000.0,2015,T,Oatlands and Burwood Park
680,-0.14091720421235587,0.32937685459940647,560000.0,2016,T,Oatlands and Burwood Park
696,-0.19047619047619047,0.30952380952380953,550000.0,2017,T,Oatlands and Burwood Park
712,0.11052500954562805,0.5051546391752577,730000.0,2018,T,Oatlands and Burwood Park
728,-0.037965757868936745,0.1835163268216169,622500.0,2019,T,Oatlands and Burwood Park
744,-0.2179627601314349,-0.03614457831325302,560000.0,2020,T,Oatlands and Burwood Park
760,-0.003613945578231359,0.0848214285714286,607500.0,2021,T,Oatlands and Burwood Park
89,0.16413928433287106,0.3999999999999999,1400000.0,2015,D,Oxshott and Stoke D'Abernon
105,-0.37326007326007327,-0.0494505494505495,1297500.0,2016,D,Oxshott and Stoke D'Abernon
121,-0.027796987859228572,0.31016597510373445,1578750.0,2017,D,Oxshott and Stoke D'Abernon
137,-0.10119811724433037,0.1707317073170731,1680000.0,2018,D,Oxshott and Stoke D'Abernon
153,-0.06787944610371976,0.034482758620689724,1500000.0,2019,D,Oxshott and Stoke D'Abernon
