,5y_ret,cluster,Year,Type,Lat,Lon
531,0.0062009978617247885,39,2017,S,51.32912934707904,-0.4107047800687285
533,-0.32849293563579285,39,2018,S,51.32912934707904,-0.4107047800687285
535,-0.150090462651848,39,2019,S,51.32912934707904,-0.4107047800687285
537,-0.111043956043956,39,2020,S,51.32912934707904,-0.4107047800687285
539,0.13458128078817722,39,2021,S,51.32912934707904,-0.4107047800687285
550,0.04739437040485872,40,2015,D,51.362816264705884,-0.3475417794117647
552,-0.22213943884028842,40,2016,D,51.362816264705884,-0.3475417794117647
554,-0.057407407407407574,40,2017,D,51.362816264705884,-0.3475417794117647
556,-0.2036645289315835,40,2018,D,51.362816264705884,-0.3475417794117647
558,-0.2644626613454141,40,2019,D,51.362816264705884,-0.3475417794117647
560,-0.2938186557438093,40,2020,D,51.362816264705884,-0.3475417794117647
562,0.19309658656053874,40,2021,D,51.362816264705884,-0.3475417794117647
551,0.04857427055702912,40,2015,S,51.362816264705884,-0.3475417794117647
553,-0.22257627118644074,40,2016,S,51.362816264705884,-0.3475417794117647
555,-0.04579325294675529,40,2017,S,51.362816264705884,-0.3475417794117647
557,-0.2707274874358059,40,2018,S,51.362816264705884,-0.3475417794117647
559,-0.045944484498918525,40,2019,S,51.362816264705884,-0.3475417794117647
561,-0.08294612794612788,40,2020,S,51.362816264705884,-0.3475417794117647
563,0.060776321104623277,40,2021,S,51.362816264705884,-0.3475417794117647
579,-0.0018919848641210102,43,2015,F,51.390589098039214,-0.40610349019607844
582,0.0839566839566841,43,2016,F,51.390589098039214,-0.40610349019607844
585,0.08777822418642023,43,2017,F,51.390589098039214,-0.40610349019607844
588,-0.03214285714285725,43,2018,F,51.390589098039214,-0.40610349019607844
591,-0.06976046466973873,43,2019,F,51.390589098039214,-0.40610349019607844
594,0.04009116336890095,43,2020,F,51.390589098039214,-0.40610349019607844
597,0.0376143109257181,43,2021,F,51.390589098039214,-0.40610349019607844
580,0.32068965517241366,43,2015,S,51.390589098039214,-0.40610349019607844
583,0.21581518788829235,43,2016,S,51.390589098039214,-0.40610349019607844
586,0.07082231623479629,43,2017,S,51.390589098039214,-0.40610349019607844
589,-0.11477411477411481,43,2018,S,51.390589098039214,-0.40610349019607844
592,0.07139644244530774,43,2019,S,51.390589098039214,-0.40610349019607844
595,0.00970588235294123,43,2020,S,51.390589098039214,-0.40610349019607844
598,-0.051784633998790186,43,2021,S,51.390589098039214,-0.40610349019607844
581,0.05568394285574341,43,2015,T,51.390589098039214,-0.40610349019607844
584,0.08072634935150291,43,2016,T,51.390589098039214,-0.40610349019607844
587,-0.19301470588235303,43,2017,T,51.390589098039214,-0.40610349019607844
590,0.025370370370370265,43,2018,T,51.390589098039214,-0.40610349019607844
593,-0.058691387016134966,43,2019,T,51.390589098039214,-0.40610349019607844
596,-0.016463851109520533,43,2020,T,51.390589098039214,-0.40610349019607844
599,-0.048961689939133635,43,2021,T,51.390589098039214,-0.40610349019607844
615,-0.09746785852427164,45,2015,D,51.38085624590164,-0.39579937704918033
618,0.6850140056022409,45,2016,D,51.38085624590164,-0.39579937704918033
621,0.07325199030806506,45,2017,D,51.38085624590164,-0.39579937704918033
624,0.00358037952022916,45,2018,D,51.38085624590164,-0.39579937704918033
627,0.08358820849873094,45,2019,D,51.38085624590164,-0.39579937704918033
630,-0.007783265978146936,45,2020,D,51.38085624590164,-0.39579937704918033
633,-0.11912110136195597,45,2021,D,51.38085624590164,-0.39579937704918033
616,0.22971221156339117,45,2015,S,51.38085624590164,-0.39579937704918033
619,-0.006221840806693857,45,2016,S,51.38085624590164,-0.39579937704918033
622,0.16619745048420942,45,2017,S,51.38085624590164,-0.39579937704918033
625,-0.12145748987854255,45,2018,S,51.38085624590164,-0.39579937704918033
628,-0.0559559261465159,45,2019,S,51.38085624590164,-0.39579937704918033
631,-0.0802336448598131,45,2020,S,51.38085624590164,-0.39579937704918033
634,0.04022988505747116,45,2021,S,51.38085624590164,-0.39579937704918033
617,-0.09612612177607938,45,2015,T,51.38085624590164,-0.39579937704918033
620,-0.0650653006418278,45,2016,T,51.38085624590164,-0.39579937704918033
623,0.27611940298507465,45,2017,T,51.38085624590164,-0.39579937704918033
626,0.027929292929292915,45,2018,T,51.38085624590164,-0.39579937704918033
629,-0.12628410659451328,45,2019,T,51.38085624590164,-0.39579937704918033
632,-0.016325224071703115,45,2020,T,51.38085624590164,-0.39579937704918033
635,-0.1582028160101251,45,2021,T,51.38085624590164,-0.39579937704918033
641,0.1158092253937748,46,2015,D,51.369139,-0.36984252272727275
642,0.24675363526608773,46,2016,D,51.369139,-0.36984252272727275
643,-0.35311447811447816,46,2017,D,51.369139,-0.36984252272727275
644,-0.12035940639019804,46,2018,D,51.369139,-0.36984252272727275
645,-0.1274318426074178,46,2019,D,51.369139,-0.36984252272727275
646,-0.020038167938931206,46,2020,D,51.369139,-0.36984252272727275
647,-0.21097636176772872,46,2021,D,51.369139,-0.36984252272727275
658,-0.35998249552661366,48,2015,D,51.38268899090909,-0.41721247272727274
660,-0.18652276507678622,48,2016,D,51.38268899090909,-0.41721247272727274
662,-0.17952140452140464,48,2017,D,51.38268899090909,-0.41721247272727274
664,-0.40232198142414854,48,2018,D,51.38268899090909,-0.41721247272727274
666,-0.298179695218706,48,2019,D,51.38268899090909,-0.41721247272727274
