,3y_ret,cluster,Year,Type,Lat,Lon
254,-0.19212397397534797,19,2017,S,51.40065451428571,-0.3631952285714286
256,0.03765060240963858,19,2018,S,51.40065451428571,-0.3631952285714286
258,-0.12118962940054645,19,2019,S,51.40065451428571,-0.3631952285714286
260,0.20082214305289114,19,2020,S,51.40065451428571,-0.3631952285714286
262,0.13465745538284413,19,2021,S,51.40065451428571,-0.3631952285714286
247,0.026760700977404905,19,2013,T,51.40065451428571,-0.3631952285714286
249,0.16815785964210384,19,2014,T,51.40065451428571,-0.3631952285714286
251,-0.022163461538461604,19,2015,T,51.40065451428571,-0.3631952285714286
253,0.5010737628384687,19,2016,T,51.40065451428571,-0.3631952285714286
255,-0.15045119500533355,19,2017,T,51.40065451428571,-0.3631952285714286
257,0.8222659358916073,19,2018,T,51.40065451428571,-0.3631952285714286
259,-0.41389636287728093,19,2019,T,51.40065451428571,-0.3631952285714286
261,0.027448680351906063,19,2020,T,51.40065451428571,-0.3631952285714286
263,-0.24057781296427594,19,2021,T,51.40065451428571,-0.3631952285714286
267,-0.10728429004573714,21,2013,S,51.40417944897959,-0.3763361836734694
268,0.1756084520121859,21,2014,S,51.40417944897959,-0.3763361836734694
269,0.034901401758137496,21,2015,S,51.40417944897959,-0.3763361836734694
270,0.029195576664308165,21,2016,S,51.40417944897959,-0.3763361836734694
271,-0.17400161160354544,21,2017,S,51.40417944897959,-0.3763361836734694
272,-0.14545209903121636,21,2018,S,51.40417944897959,-0.3763361836734694
273,0.027660363366703633,21,2019,S,51.40417944897959,-0.3763361836734694
274,0.0761606524037659,21,2020,S,51.40417944897959,-0.3763361836734694
275,0.22441452991452993,21,2021,S,51.40417944897959,-0.3763361836734694
279,0.03211309254051953,22,2013,D,51.3218068,-0.3865680181818182
280,-0.1812752219531879,22,2014,D,51.3218068,-0.3865680181818182
281,-0.00046296296296310935,22,2015,D,51.3218068,-0.3865680181818182
282,-0.06215538847117785,22,2016,D,51.3218068,-0.3865680181818182
283,0.21385307605780057,22,2017,D,51.3218068,-0.3865680181818182
284,0.07869678130164481,22,2018,D,51.3218068,-0.3865680181818182
285,0.03675637267963405,22,2019,D,51.3218068,-0.3865680181818182
286,-0.062452527639463185,22,2020,D,51.3218068,-0.3865680181818182
287,-0.0874812593703147,22,2021,D,51.3218068,-0.3865680181818182
291,0.14791834482758626,23,2013,S,51.37016319230769,-0.39091438461538464
